Ticker,Kurs,RSI,SMA20,SMA50,SMA200,1M %,3M %,6M %,1Y %,Volatilität,Ø Volumen,Vol Ratio,% vom Hoch,% vom Tief,Trend Score
DASH,152.58,40.7,156.5,170.0,221.92,-5.7,-29.2,-44.6,-15.5,42.7,4393902,0.72,-45.8,4.1,0
DOV,217.12,56.4,210.41,216.66,191.2,6.5,7.8,34.5,35.4,23.6,1135815,0.63,-6.7,38.9,4
DOW,39.01,55.3,38.98,34.47,26.42,3.8,49.9,81.4,46.5,47.9,13198759,0.83,-6.8,94.7,5
DHI,142.64,50.5,138.68,149.14,151.98,2.6,-9.0,-5.2,20.5,38.0,3393946,1.14,-22.0,23.1,1
DTE,149.68,62.2,146.67,143.76,136.02,2.2,16.1,8.7,19.2,15.8,1380336,0.39,-0.9,19.2,5
DUK,131.79,56.5,130.73,128.22,121.46,-0.0,13.8,7.5,14.7,15.1,3487833,0.79,-1.3,21.3,5
DD,47.25,55.8,45.41,46.92,38.02,4.2,8.3,46.4,95.7,30.0,6287164,0.35,-7.9,95.7,4
ETN,403.0,68.2,366.54,366.88,357.43,15.6,24.6,7.2,46.6,30.5,2564741,0.86,0.0,56.8,4
EBAY,95.4,59.5,92.08,89.48,87.75,6.0,5.3,6.6,49.8,36.7,5404217,0.8,-4.4,49.8,5
SATS,128.59,61.7,116.47,113.68,80.45,19.4,7.2,68.1,472.0,110.2,4945851,1.84,-1.9,704.2,5
ECL,273.29,51.3,266.31,282.46,271.66,-0.7,0.8,0.8,17.3,19.9,1343695,1.19,-11.1,19.3,3
EIX,75.72,70.8,71.83,69.95,58.26,8.0,25.7,46.5,43.0,27.3,3364980,0.54,-0.1,66.0,5
EW,77.87,36.7,81.38,81.54,80.78,-8.0,-8.5,3.6,12.2,23.1,4331124,1.14,-10.7,12.5,1
EA,202.74,54.0,202.05,201.17,189.13,1.8,-0.6,1.5,42.5,23.4,2844402,0.54,-0.9,43.5,5
ELV,311.53,56.7,297.56,311.08,323.12,8.2,-15.9,-12.0,-27.7,40.0,1934846,0.54,-27.9,15.3,2
EME,802.43,63.0,748.2,752.47,660.44,12.9,24.2,18.0,109.5,38.1,458204,0.43,-1.3,121.5,4
EMR,143.77,61.5,132.25,141.96,136.58,8.8,0.1,10.2,45.4,29.1,3046821,0.67,-10.7,51.6,4
ETR,116.47,72.4,108.71,104.83,93.99,11.4,25.4,23.4,46.4,19.4,2759796,0.68,-0.8,48.6,5
EOG,136.19,48.1,140.9,129.2,115.59,2.4,31.0,24.0,30.1,24.9,4066004,0.76,-9.1,35.1,4
EPAM,122.47,27.0,134.17,149.76,169.83,-9.8,-42.2,-18.6,-17.1,44.0,916689,1.66,-44.7,0.0,0
EQT,58.68,36.7,63.36,60.74,55.8,-9.2,15.2,7.5,19.6,33.4,8490010,0.6,-13.6,24.5,3
EFX,177.97,41.9,179.79,189.92,221.62,-2.5,-21.4,-23.3,-18.5,36.9,1334128,1.88,-36.0,5.0,0
EQIX,1030.24,73.3,985.3,939.58,816.35,6.0,29.4,28.9,35.7,26.1,574956,0.6,-0.1,42.7,5
EQR,61.14,58.0,59.22,60.98,61.43,2.7,2.4,1.0,-1.2,19.9,2298828,1.07,-10.9,6.7,2
ERIE,253.76,52.2,245.68,260.17,300.16,5.0,-9.0,-19.9,-38.3,31.0,165662,1.5,-39.0,8.1,1
ESS,250.07,56.1,244.33,249.02,255.36,0.6,0.7,-1.5,-1.3,21.3,494441,0.88,-11.9,5.5,2
EL,72.67,37.2,76.05,93.55,94.27,-13.8,-35.9,-22.1,33.7,47.0,4040285,1.22,-39.1,40.2,0
