price,ev,equity,pv_cfs,pv_tv,tv_pct,fcf,growth_1,growth_2,terminal,wacc
1322.5348,2909.9357,2904.3467,696.0399,2213.8958,76.1,26.509862022312515,31.4982567703851,17.208799549733612,3.3286156105227267,8.215075282410059
840.313,1850.9547,1845.3657,608.5028,1242.4519,67.1,25.832615633693834,31.285225763511264,19.93839079563589,3.2362768727662035,10.732478970785914
805.4632,1774.4228,1768.8338,576.3325,1198.0903,67.5,23.6029805184889,31.634297463579585,16.980141167046547,2.3816681845931544,9.456240786549868
1035.2509,2279.0473,2273.4583,660.6065,1618.4408,71.0,28.46034505875291,30.091455688958813,20.171749239233076,3.99052485437429,10.361602733607029
767.6399,1691.3612,1685.7722,714.9652,976.396,57.7,32.7533918098046,31.568814719997473,16.45085866614992,1.323345327433279,11.226039636695557
736.4341,1622.8318,1617.2428,656.0937,966.7381,59.6,28.066915575650903,33.40564599508143,20.640187015924173,2.247900677887337,12.297764951173377
1300.9965,2862.6367,2857.0477,739.5364,2123.1003,74.2,26.053649552898435,33.63211522925788,21.697311546050763,3.538122175803083,9.415371289753724
976.7181,2150.5065,2144.9175,613.0132,1537.4933,71.5,22.527777971972807,34.31539148340608,24.503170329314823,4.466754986448917,11.317909582750142
604.505,1333.1095,1327.5205,487.127,845.9825,63.5,23.59838280316618,28.81258448824356,17.330368489834015,2.759272876234449,10.837524110296858
2012.1875,4424.4445,4418.8555,738.7673,3685.6772,83.3,19.069784487681883,37.74061680597136,21.897697282951338,2.9480101613340506,6.6734061720795435
1696.4694,3731.1131,3725.5241,684.9419,3046.1712,81.6,19.213963523007653,35.002271305668266,20.961068327792454,2.1990719641543346,6.273001991593841
1883.9286,4142.782,4137.193,944.9224,3197.8596,77.2,24.27093910499936,39.37257401125702,22.57670807010407,2.2249990529510013,7.634819156156605
1123.2896,2472.3841,2466.7951,943.7922,1528.5919,61.8,32.64666164260821,38.99438005108502,22.427103468477092,2.472598136920647,12.279409870039025
1269.3329,2793.102,2787.513,722.7196,2070.3824,74.1,25.78527739848252,33.201966199475585,19.863542512410568,3.1456821328234614,8.852352763544848
1092.6571,2405.1137,2399.5247,615.8071,1789.3066,74.4,23.35897996933201,30.497829806787635,18.409835227838116,2.442377254153509,7.933335171585999
919.81,2025.5336,2019.9446,692.7299,1332.8037,65.8,25.96627501860669,32.18584165620827,22.60668959094483,1.321616319193497,9.905089532096733
1075.4096,2367.2375,2361.6485,656.3229,1710.9146,72.3,30.33541290398293,25.97087118268516,15.433178100747213,2.2137258747422703,7.782437503602671
647.8123,1428.2144,1422.6254,471.189,957.0254,67.0,22.57630453026016,28.125196022645216,20.985425053941572,3.764771243558565,11.285206189136122
